City,IATA,ID,Name,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,DZ,Type,Source
Tallinn,TLL,415,Lennart Meri Tallinn Airport,Estonia,EETN,59.41329956049999,24.8327999115,131,2,E,Europe/Tallinn,airport,OurAirports
Amsterdam,AMS,580,Amsterdam Airport Schiphol,Netherlands,EHAM,52.308601,4.76389,-11,1,E,Europe/Amsterdam,airport,OurAirports
Athens,ATH,3941,Eleftherios Venizelos International Airport,Greece,LGAV,37.9364013672,23.9444999695,308,2,E,Europe/Athens,airport,OurAirports
Berlin,TXL,351,Berlin-Tegel Airport,Germany,EDDT,52.5597,13.2877,122,1,E,Europe/Berlin,airport,OurAirports
Brussels,BRU,302,Brussels Airport,Belgium,EBBR,50.9014015198,4.48443984985,184,1,E,Europe/Brussels,airport,OurAirports
Copenhagen,CPH,609,Copenhagen Kastrup Airport,Denmark,EKCH,55.617900848389,12.656000137329,17,1,E,Europe/Copenhagen,airport,OurAirports
Dublin,DUB,599,Dublin Airport,Ireland,EIDW,53.421299,-6.27007,242,0,E,Europe/Dublin,airport,OurAirports
Düsseldorf,NRN,4198,Weeze Airport,Germany,EDLV,51.6024017334,6.14216995239,106,1,E,Europe/Berlin,airport,OurAirports
Edinburgh,EDI,535,Edinburgh Airport,United Kingdom,EGPH,55.95000076293945,-3.372499942779541,135,0,E,Europe/London,airport,OurAirports
Frankfurt,FRA,340,Frankfurt am Main Airport,Germany,EDDF,50.033333,8.570556,364,1,E,Europe/Berlin,airport,OurAirports
Girona,GRO,1222,Girona Airport,Spain,LEGE,41.901000977,2.7605500221,468,1,E,Europe/Madrid,airport,OurAirports
Helsinki,HEL,421,Helsinki Vantaa Airport,Finland,EFHK,60.317199707031,24.963300704956,179,2,E,Europe/Helsinki,airport,OurAirports
Istanbul,IST,13696,Istanbul Airport,Turkey,LTFM,41.275278,28.751944,325,3,E,\N,airport,OurAirports
Kiev,IEV,2944,Kiev Zhuliany International Airport,Ukraine,UKKK,50.40194,30.45194,587,2,E,Europe/Kiev,airport,OurAirports
Kuressaare,URE,413,Kuressaare Airport,Estonia,EEKE,58.22990036010742,22.50950050354004,14,2,E,Europe/Tallinn,airport,OurAirports
Kutaisi,KUT,3972,Kopitnari Airport,Georgia,UGKO,42.176700592,42.4826011658,223,4,N,Asia/Tbilisi,airport,OurAirports
Kärdla,KDL,412,Kärdla Airport,Estonia,EEKA,58.99079895019531,22.830699920654297,18,2,E,Europe/Tallinn,airport,OurAirports
London,LGW,502,London Gatwick Airport,United Kingdom,EGKK,51.148102,-0.190278,202,0,E,Europe/London,airport,OurAirports
Malaga,AGP,1230,Málaga Airport,Spain,LEMG,36.67490005493164,-4.499110221862793,53,1,E,Europe/Madrid,airport,OurAirports
Malta,MLA,1606,Malta International Airport,Malta,LMML,35.857498,14.4775,300,1,E,Europe/Malta,airport,OurAirports
Milan,BGY,1525,Il Caravaggio International Airport,Italy,LIME,45.673901,9.70417,782,1,E,Europe/Rome,airport,OurAirports
Minsk,MSQ,2954,Minsk National Airport,Belarus,UMMS,53.882499694824,28.030700683594,670,3,E,Europe/Minsk,airport,OurAirports
Moscow,SVO,2985,Sheremetyevo International Airport,Russia,UUEE,55.972599,37.4146,622,3,N,Europe/Moscow,airport,OurAirports
Munich,MUC,346,Munich Airport,Germany,EDDM,48.353802,11.7861,1487,1,E,Europe/Berlin,airport,OurAirports
Nice,NCE,1354,Nice-Côte d'Azur Airport,France,LFMN,43.6584014893,7.215869903560001,12,1,E,Europe/Paris,airport,OurAirports
Oslo,OSL,644,Oslo Lufthavn,Norway,ENGM,60.121,11.0502,681,1,E,Europe/Oslo,airport,OurAirports
Paphos,PFO,1198,Paphos International Airport,Cyprus,LCPH,34.71799850463867,32.48569869995117,41,2,E,Asia/Nicosia,airport,OurAirports
Paris,CDG,1382,Charles de Gaulle International Airport,France,LFPG,49.012798,2.55,392,1,E,Europe/Paris,airport,OurAirports
Riga,RIX,3953,Riga International Airport,Latvia,EVRA,56.92359924316406,23.971099853515625,36,2,E,Europe/Riga,airport,OurAirports
Rome,FCO,1555,Leonardo da Vinci–Fiumicino Airport,Italy,LIRF,41.8002778,12.2388889,13,1,E,Europe/Rome,airport,OurAirports
Salzburg,SZG,1612,Salzburg Airport,Austria,LOWS,47.7933006287,13.0043001175,1411,1,E,Europe/Vienna,airport,OurAirports
Stockholm,ARN,737,Stockholm-Arlanda Airport,Sweden,ESSA,59.651901245117,17.918600082397,137,1,E,Europe/Stockholm,airport,OurAirports
Zürich,ZRH,1678,Zürich Airport,Switzerland,LSZH,47.464699,8.54917,1416,1,E,Europe/Zurich,airport,OurAirports
Warsaw,WAW,679,Warsaw Chopin Airport,Poland,EPWA,52.1656990051,20.9671001434,362,1,E,Europe/Warsaw,airport,OurAirports
Vienna,VIE,1613,Vienna International Airport,Austria,LOWW,48.110298156738,16.569700241089,600,1,E,Europe/Vienna,airport,OurAirports
Vilnius,VNO,3959,Vilnius International Airport,Lithuania,EYVI,54.634102,25.285801,648,2,E,Europe/Vilnius,airport,OurAirports
